index,ActivePower_KWh,WindSpeed
2022-10-01 00:00:00+00:00,3928.509,7.0
2022-10-01 01:00:00+00:00,1516.743,3.1
2022-10-01 02:00:00+00:00,3346.173,2.8
2022-10-01 03:00:00+00:00,4620.6,4.7
2022-10-01 04:00:00+00:00,4396.851,4.6
2022-10-01 05:00:00+00:00,3417.9615,4.7
2022-10-01 06:00:00+00:00,5498.415,7.7
2022-10-01 07:00:00+00:00,4171.401,8.0
2022-10-01 08:00:00+00:00,3334.3605,11.9
2022-10-01 09:00:00+00:00,1707.651,10.4
2022-10-01 10:00:00+00:00,625.5315,10.2
2022-10-01 11:00:00+00:00,1203.6915,10.1
2022-10-01 12:00:00+00:00,654.9885,8.0
2022-10-01 13:00:00+00:00,62.94915,9.4
2022-10-01 14:00:00+00:00,-4.1391,0.0
2022-10-01 15:00:00+00:00,-9.5544,0.0
2022-10-01 16:00:00+00:00,-9.99855,0.0
2022-10-01 17:00:00+00:00,-7.69005,0.0
2022-10-01 18:00:00+00:00,129.2103,7.6
2022-10-01 19:00:00+00:00,335.0223,8.9
2022-10-01 20:00:00+00:00,32.5413,8.4
2022-10-01 21:00:00+00:00,-0.66555,0.0
2022-10-01 22:00:00+00:00,78.9507,8.2
2022-10-01 23:00:00+00:00,269.1954,6.9
2022-10-02 00:00:00+00:00,938.6685,5.1
2022-10-02 01:00:00+00:00,88.9632,6.3
2022-10-02 02:00:00+00:00,51.3531,6.5
2022-10-02 03:00:00+00:00,27.4338,6.6
2022-10-02 04:00:00+00:00,2.92815,0.0
2022-10-02 05:00:00+00:00,41.3433,5.1
2022-10-02 06:00:00+00:00,160.1631,5.4
2022-10-02 07:00:00+00:00,-8.97795,0.0
2022-10-02 08:00:00+00:00,-7.29,0.0
2022-10-02 09:00:00+00:00,-6.7842,0.0
2022-10-02 10:00:00+00:00,-8.88705,0.0
2022-10-02 11:00:00+00:00,49.1814,8.6
2022-10-02 12:00:00+00:00,180.61515,7.8
2022-10-02 13:00:00+00:00,570.942,6.9
2022-10-02 14:00:00+00:00,421.90875,8.6
2022-10-03 13:00:00+00:00,88.5366,11.3
2022-10-03 14:00:00+00:00,52.36785,12.9
2022-10-03 15:00:00+00:00,146.27835,10.2
2022-10-03 16:00:00+00:00,-4.70655,0.0
2022-10-03 17:00:00+00:00,-4.6719,0.0
2022-10-03 18:00:00+00:00,5.1921,0.0
2022-10-03 19:00:00+00:00,562.4055,2.8
2022-10-03 20:00:00+00:00,604.818,3.4
2022-10-03 21:00:00+00:00,1397.493,2.8
2022-10-03 22:00:00+00:00,1045.872,2.8
2022-10-03 23:00:00+00:00,1057.5045,2.8
2022-10-04 00:00:00+00:00,930.816,3.4
2022-10-04 01:00:00+00:00,1389.1635,4.0
2022-10-04 02:00:00+00:00,1210.8465,3.6
2022-10-04 03:00:00+00:00,1161.126,5.1
2022-10-04 04:00:00+00:00,997.3845,6.1
2022-10-04 05:00:00+00:00,1288.728,4.9
2022-10-04 06:00:00+00:00,1859.121,3.2
2022-10-04 07:00:00+00:00,1763.829,4.7
2022-10-04 08:00:00+00:00,535.4775,3.3
2022-10-04 09:00:00+00:00,395.3898,2.6
2022-10-04 10:00:00+00:00,1196.6265,5.2
2022-10-04 11:00:00+00:00,1850.5665,4.0
2022-10-04 12:00:00+00:00,1991.862,4.7
2022-10-04 13:00:00+00:00,2161.3095,3.8
2022-10-04 14:00:00+00:00,1883.61,4.3
2022-10-04 15:00:00+00:00,1116.117,7.2
2022-10-04 16:00:00+00:00,482.8365,6.5
2022-10-04 17:00:00+00:00,21.97395,2.6
2022-10-04 18:00:00+00:00,-5.7807,0.0
2022-10-04 19:00:00+00:00,20.3976,3.4
2022-10-04 20:00:00+00:00,11.12265,5.4
2022-10-04 21:00:00+00:00,156.2967,3.8
2022-10-04 22:00:00+00:00,127.8162,4.6
2022-10-04 23:00:00+00:00,-1.61865,0.0
2022-10-05 00:00:00+00:00,153.89595,4.1
2022-10-05 01:00:00+00:00,166.9968,4.7
2022-10-05 02:00:00+00:00,3.4596,0.0
2022-10-05 03:00:00+00:00,-9.67185,0.0
2022-10-05 04:00:00+00:00,-8.98155,0.0
2022-10-05 05:00:00+00:00,-7.5861,0.0
2022-10-05 06:00:00+00:00,-7.49475,0.0
2022-10-05 07:00:00+00:00,-6.51735,0.0
2022-10-05 08:00:00+00:00,-6.04755,0.0
2022-10-05 09:00:00+00:00,-6.5727,0.0
2022-10-05 10:00:00+00:00,-10.062,0.0
2022-10-05 11:00:00+00:00,15.9831,2.5
2022-10-05 12:00:00+00:00,144.9315,3.6
2022-10-05 13:00:00+00:00,156.402,5.8
2022-10-05 14:00:00+00:00,354.7008,6.7
2022-10-05 15:00:00+00:00,502.056,5.9
2022-10-05 16:00:00+00:00,524.8395,4.3
2022-10-05 17:00:00+00:00,674.757,2.8
2022-10-05 18:00:00+00:00,1015.281,0.7
2022-10-05 19:00:00+00:00,1416.825,1.8
2022-10-05 20:00:00+00:00,911.6325,1.5
2022-10-05 21:00:00+00:00,51.7734,1.6
2022-10-05 22:00:00+00:00,-9.86715,0.0
2022-10-05 23:00:00+00:00,125.80515,2.4
2022-10-06 00:00:00+00:00,865.773,1.5
2022-10-06 01:00:00+00:00,737.4555,1.8
2022-10-06 02:00:00+00:00,295.4592,4.8
2022-10-06 03:00:00+00:00,935.9505,4.9
2022-10-06 04:00:00+00:00,4928.4,4.1
2022-10-06 05:00:00+00:00,4272.966,5.6
2022-10-06 06:00:00+00:00,2858.4045,2.6
2022-10-06 07:00:00+00:00,806.823,4.8
2022-10-06 08:00:00+00:00,236.5533,5.6
2022-10-06 09:00:00+00:00,281.0133,2.1
2022-10-06 10:00:00+00:00,-8.81955,0.0
2022-10-06 11:00:00+00:00,-2.6055,0.0
2022-10-06 12:00:00+00:00,126.1035,5.4
2022-10-06 13:00:00+00:00,262.13895,7.4
2022-10-06 15:00:00+00:00,1112.7555,8.6
2022-10-06 16:00:00+00:00,1393.1325,6.9
2022-10-06 17:00:00+00:00,1295.271,4.9
2022-10-06 18:00:00+00:00,914.454,1.9
2022-10-06 19:00:00+00:00,570.0825,1.3
2022-10-06 20:00:00+00:00,975.3885,3.3
2022-10-06 21:00:00+00:00,1387.4625,2.8
2022-10-06 22:00:00+00:00,2644.668,3.6
2022-10-06 23:00:00+00:00,4128.606,4.1
