X0,Y0
0.83,5.42
0.7,18.26
0.38,17.86
0.41,21.07
0.39,17.46
0.91,15.85
0.3,36.12
0.77,18.86
0.42,31.3
0.24,16.66
0.51,7.83
0.62,23.08
0.32,23.88
0.67,18.66
0.25,26.49
0.38,8.23
1.64,19.47
0.69,23.48
0.27,27.89
1.23,19.06
0.99,23.48
0.18,29.7
0.26,38.53
0.94,11.64
0.62,23.48
1.21,20.87
0.25,33.91
0.36,14.65
0.46,17.66
0.62,11.84
0.76,12.84
0.56,22.27
0.6,23.28
1.21,28.9
0.15,55.18
0.13,24.88
0.21,7.02
0.97,8.83
1.35,11.04
0.71,26.49
0.43,33.31
0.35,21.47
0.47,12.64
0.77,12.24
0.86,9.03
1.02,52.37
0.29,40.94
0.65,33.71
0.3,16.25
0.22,12.84
0.35,9.63
1.51,12.64
1.01,34.52
0.28,41.94
0.28,25.08
0.75,23.08
0.49,25.89
0.36,33.91
0.64,52.17
0.16,52.37
0.09,27.89
0.56,5.42
0.57,39.93
0.61,39.53
0.37,36.92
0.44,21.07
0.2,17.26
0.42,17.46
0.94,22.88
0.33,41.74
0.28,19.47
0.51,18.46
0.81,38.73
0.19,39.73
0.1,21.47
0.32,13.24
0.76,15.65
0.58,26.09
0.57,35.12
0.4,47.76
0.35,47.56
0.29,43.14
0.33,31.1
0.31,30.3
0.3,28.7
0.3,23.08
0.32,23.08
0.38,20.67
0.85,25.49
0.25,41.54
0.33,38.13
0.35,12.84
0.37,17.26
1.0,20.07
0.34,38.93
0.22,21.47
0.31,21.07
0.28,16.86
0.23,7.83
0.33,6.02
0.8,5.82
0.78,23.28
0.62,16.86
0.28,34.72
0.21,23.68
0.23,15.25
0.3,11.84
0.51,14.25
0.54,20.67
0.44,30.5
0.53,30.3
0.24,25.89
0.17,24.08
0.25,10.03
0.59,7.63
0.82,26.49
0.3,41.94
0.25,35.92
0.4,26.89
0.24,23.28
0.36,19.26
1.51,25.69
0.54,77.06
0.19,57.19
0.19,31.91
0.4,15.25
0.27,24.08
0.41,23.48
0.88,34.52
0.27,42.54
0.43,30.5
0.46,42.74
0.5,51.77
0.23,31.3
0.42,15.05
0.66,28.29
0.21,36.32
0.17,36.72
0.18,48.16
0.14,73.65
0.36,28.29
0.35,27.09
0.71,45.35
0.81,42.94
0.99,19.67
0.75,12.44
0.55,18.26
0.36,31.1
0.4,28.09
0.55,15.45
0.24,40.54
0.51,47.16
0.21,20.07
0.39,13.04
0.5,18.26
0.15,34.52
0.33,49.36
0.28,44.35
0.14,11.64
0.18,9.43
0.42,20.07
0.52,29.1
0.82,52.37
0.2,57.79
0.14,35.12
0.39,15.85
0.53,17.26
0.22,33.71
0.29,13.04
1.06,17.86
0.5,42.14
0.16,35.32
0.25,18.26
0.48,11.44
0.43,21.67
0.44,25.28
0.87,30.5
0.19,35.32
0.52,27.29
0.23,20.47
0.47,14.65
0.37,12.84
0.46,17.46
1.19,30.9
0.37,57.59
0.21,41.54
0.25,21.47
0.47,17.26
0.53,18.26
0.91,27.89
0.37,53.98
0.19,26.89
0.73,24.28
0.31,18.86
0.61,4.41
0.96,33.31
0.55,81.67
0.13,18.46
0.29,14.45
0.48,24.48
0.38,22.07
0.45,17.26
0.47,27.69
0.42,37.32
0.74,34.31
0.14,57.79
0.15,27.29
0.39,13.65
0.9,13.44
0.81,30.7
0.42,37.53
0.37,30.3
0.38,18.46
0.51,13.65
0.48,14.85
0.42,32.71
0.84,45.95
0.26,46.15
0.24,29.7
0.34,8.03
0.66,20.87
0.67,50.37
0.41,55.59
0.46,34.92
0.41,27.49
0.43,12.24
0.41,11.04
0.45,3.21
0.3,44.95
0.32,24.08
0.42,16.66
0.82,10.64
0.66,6.42
0.55,37.32
0.32,35.72
0.17,25.49
0.61,11.64
0.72,24.28
0.2,27.29
0.39,18.06
0.29,18.06
0.11,6.82
0.71,14.45
0.42,13.44
0.72,25.89
0.24,26.09
1.44,13.65
0.67,25.08
0.46,16.66
0.37,22.68
0.43,10.43
0.64,27.09
1.11,22.48
0.47,17.06
0.42,31.91
0.47,26.69
0.45,17.86
0.44,16.25
0.73,17.46
0.33,19.87
0.42,18.46
0.82,15.45
0.71,33.11
0.41,38.13
0.83,18.26
0.48,26.29
0.56,19.26
0.65,22.48
0.77,21.67
0.3,30.7
0.52,25.49
1.26,43.14
0.22,30.9
0.11,19.06
0.58,2.61
0.88,10.03
0.87,33.71
0.4,34.31
0.46,36.92
0.29,26.29
0.12,21.67
0.73,23.68
0.58,42.54
0.39,21.67
0.39,25.49
0.36,20.87
0.47,13.24
1.16,19.47
0.64,18.86
0.25,41.74
0.51,23.88
0.41,37.73
0.71,40.94
0.61,26.69
1.04,19.26
0.54,31.3
1.44,34.92
0.47,23.68
0.35,20.27
0.45,17.86
0.42,23.28
0.78,36.92
0.18,32.31
0.64,24.68
0.71,28.9
0.33,38.93
0.38,16.45
0.89,23.28
0.57,26.89
0.13,25.69
0.36,19.87
0.36,36.52
0.36,53.18
0.27,77.26
0.13,140.87
0.15,86.09
0.1,20.27
0.6,15.65
1.63,58.6
1.54,99.93
0.43,225.55
0.46,56.79
0.32,13.85
0.58,9.03
1.15,27.29
1.91,48.56
0.65,69.23
0.53,46.35
0.28,26.29
0.27,11.64
0.58,8.63
0.91,15.25
1.1,33.31
0.67,34.31
0.47,39.93
0.47,20.07
0.67,19.87
1.26,44.35
0.65,63.21
0.37,41.54
0.44,28.9
0.43,18.66
0.52,19.67
0.66,10.64
1.2,37.73
0.44,36.52
0.54,21.07
0.77,30.3
0.57,35.32
0.31,20.27
0.46,14.65
0.77,21.07
0.87,34.52
0.49,38.73
0.36,23.68
0.65,13.44
0.68,27.49
0.79,36.52
